N	classifier	measure	F1_macro_mean	F1_macro_var	F1
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.9517441860465117
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.8905494505494507
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.8387867921709249
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.878654970760234
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.734593023255814
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.786706497386109
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.9761904761904763
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.6932440657334145
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.928409090909091
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.9879518072289156
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.9152196118488254
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.9517441860465117
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.8387867921709249
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.878654970760234
4000	LinearSVC	Welch	0.8737459789696359	0.008441780293457522	0.7805522914218566
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.6680891417733523
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.9404001702852278
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.6782595373065727
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.8921078921078921
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.9759001161440186
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.9396187981958388
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.9397240377632534
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.8256302521008403
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.8543859649122807
4000	LinearSVC	Wilcoxon	0.8431091448024415	0.012229817350797539	0.7169755374351372
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.7148148148148149
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.9522727272727273
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.6782595373065727
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.8425378514780102
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.9759001161440186
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.9274475524475525
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.9276162790697674
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.8283096926713948
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.8537015276145711
4000	LinearSVC	KLD	0.8451760458963486	0.009623066865222785	0.7509003601440577
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.747596153846154
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.9642806520198441
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.6932440657334145
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.8921078921078921
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.9879518072289156
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.9152196118488254
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.963834422657952
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.8899690676093681
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.8662271062271063
4000	LinearSVC	χ2	0.8700983070701328	0.008877909740601509	0.7805522914218566
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.6517857142857142
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.9285309132161089
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.6782595373065727
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.8798627002288331
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.9759001161440186
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.9396187981958388
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.9154663174741744
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.813984760197221
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.8537015276145711
4000	LinearSVC	LLR	0.8368896518623099	0.01175772863875942	0.7317861339600469
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.635076427996782
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.9166548547129695
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.6825396825396826
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.9042735042735042
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	1.0
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.9029239766081871
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.9758720930232558
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.8256302521008403
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.8662271062271063
4000	LinearSVC	TF-IDF	0.8501361691855578	0.012697035860154804	0.7921637943732509
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.6676810712111989
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.8928419560595322
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.662962962962963
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.9042735042735042
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	1.0
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.8655177493003388
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.9032634032634033
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.7792553191489362
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.9032634032634033
3000	LinearSVC	Zeta_orig	0.8248966572311384	0.01325553195613777	0.6699072028281043
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.71449682281661
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.9166548547129695
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.662962962962963
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.9163703598350164
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	1.0
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.8655177493003388
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.9276162790697674
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.8283096926713948
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.9154663174741744
3000	LinearSVC	Zeta_log	0.8454798094072377	0.011584282147548077	0.7074030552291422
3000	LinearSVC	RRF	0.8696724096078603	0.011555133636446	0.8568181818181819
3000	LinearSVC	RRF	0.8696724096078603	0.011555133636446	1.0
